Word	IPA transcription
вноската	v n o s k a t ɐ
единната	e d i n n a t ɐ
отлива	o t l i v ɐ
организирано	o r ɡ ɐ n i z i r a n o
командировки	k o m ɐ n d i r o f k i
трик	t r i k
прилагат	p r i ɫ a ɡ ɐ t
отчитането	o t t ʃ i t a n e t o
наградата	n ɐ ɡ r a d a t ɐ
нищожна	n i ʃ t o ʒ n ɐ
продуцентите	p r o d u t s e n t i t e
хвърлят	x v ə r l ɐ t
сянка	ʃ a n k ɐ
изрядни	i z rʲ a d n i
издаването	i z d ɐ v a n e t o
посетиха	p o s e t i x ɐ
правното	p r a v n o t o
съпътстваше	s ə p ə t s t v a ʃ e
платят	p ɫ a tʲ ɐ t
необходимия	n e o p x o d i m i j ɐ
чадър	t ʃ a d ə r
Антоний	a n t o n i j
смятан	s mʲ a t ɐ n
по-умерен	p o u m e r e n
Шамил	ʃ a m i ɫ
Басаев	b a s a e f
най-кървавите	n a j k ə r v a v i t e
атаки	a t a k i
Златната	z ɫ a t n a t ɐ
високопоставените	v i s o k o p o s t ɐ v e n i t e
министър-председателят	m i n i s t ə r p r e t s e d a t e l ɐ t
строителите	s t r o i t e l i t e
съвременно	s ə v r e m e n n o
правителственият	p r ɐ v i t e ɫ s t v e n i j ɐ t
пресцентър	p r e s t s e n t ə r
решат	r e ʃ ɐ t
вноска	v n o s k ɐ
коалираха	k o ɐ l i r a x ɐ
видеото	v i d e o t o
събота	s ə b o t ɐ
искал	i s k ɐ ɫ
Руския	r u s k i j ɐ
индустриалците	i n d u s t r i a ɫ t s i t e
репортажи	r e p o r t a ʒ i
образец	o b r a z e t s
поведе	p o v e d e
претендираме	p r e t e n d i r a m e
изчерпателност	i s t ʃ e r p a t e ɫ n o s t
Сигма	s i ɡ m ɐ
скромна	s k r o m n ɐ
десетки	d e s e t k i
дъжд	d ə ʃ t
качулка	k a t ʃ u ɫ k ɐ
всеобщо	f s e o p ʃ t o
раните	r a n i t e
разделението	r ɐ z d e l e n i e t o
изцеление	i s t s e l e n i e
използваното	i s p o ɫ z v a n o t o
платно	p ɫ a t n o
спуснаха	s p u s n a x ɐ
плавно	p ɫ a v n o
ширина	ʃ i r i n ɐ
взел	v z e ɫ
очакваното	o t ʃ ɐ k v a n o t o
увеличение	u v e l i t ʃ e n i e
управляваните	u p r ɐ v l ɐ v a n i t e
въпросния	v ə p r o s n i j ɐ
апетит	ɐ p e t i t
моментите	m o m e n t i t e
настанява	n ɐ s t a ɲ a v ɐ
трапезата	t r ɐ p e z a t ɐ
лакмус	ɫ a k m u s
убедим	u b e d i m
колебаещи	k o l e b a e ʃ t i
постигнем	p o s t i ɡ n e m
Радоев	r a d o e f
Калфин	k a ɫ f i n
алтернативен	ɐ ɫ t e r n a t i v e n
метод	m e t o t
справка	s p r a f k ɐ
лекарите	l e k a r i t e
Хипократ	ʃ i p o k r ɐ t
десетата	d e s e t a t ɐ
управленска	u p r a v l e n s k ɐ
градоначалникът	ɡ r ɐ d o n ɐ t ʃ a ɫ n i k ə t
отговорната	o d ɡ o v o r n a t ɐ
значимост	z n a t ʃ i m o s t
ръководна	r ə k o v o d n ɐ
избра	i z b r ɐ
коментар	k o m e n t a r
ромския	r o m s k i j ɐ
най-актуалната	n a j ɐ k t u a ɫ n a t ɐ
сочи	s o t ʃ i
реализирани	r e ɐ l i z i r a n i
обвинени	o b v i n e n i
инспиратори	i n s p i r a t o r i
Зоран	z o r ɐ n
скоростта	s k o r o s t̪ ɐ
парализиран	p ɐ r ɐ l i z i r ɐ n
общностния	o p ʃ t n o s t n i j ɐ
Ако	a k o
хватката	x v a t k a t ɐ
броени	b r o e n i
Коледа	k o l e d ɐ
момчетата	m o m t ʃ e t a t ɐ
подложено	p o d ɫ o ʒ e n o
преоценка	p r e o t s e n k ɐ
ракетните	r ɐ k e t n i t e
предназначение	p r e d n ɐ z n a t ʃ e n i e
пунктовете	p u n k t o v e t e
ранно	r a n n o
предупреждаване	p r e d u p r e ʒ d a v a n e
ракети	r a k e t i
работеха	r ɐ b o t e x ɐ
забелязали	z ɐ b e l a z a l i
целенасочено	t s e l e n ɐ s o t ʃ e n o
прокарват	p r o k a r v ɐ t
накарат	n a k a r ɐ t
индивидуалната	i n d i v i d u a ɫ n a t ɐ
първомартенската	p ə r v o m ɐ r t e n s k a t ɐ
емисия	e m i s i j ɐ
посветена	p o s v e t e n ɐ
защитавал	z ɐ ʃ t i t a v ɐ ɫ
петчленния	p e t t ʃ l e n n i j ɐ
жилищата	ʒ i l i ʃ t a t ɐ
съответстващите	s ə o t v e t s t v a ʃ t i t e
водопровод	v o d o p r o v o t
електричество	e l e k t r i t ʃ e s t v o
съветва	s ə v e t v ɐ
ратификациите	r ɐ t i f i k ɐ t s i i t e
телевизионният	t e l e v i z i o n n i j ɐ t
Останкино	o s t a n k i n o
изключат	i s k l u t ʃ ɐ t
подстанции	p o t s t a n t s i i
захранва	z a x r a n v ɐ
ТЕЦ	t e t s
построена	p o s t r o e n ɐ
разделят	r a z d e l ɐ t
фундаментални	f u n d ɐ m e n t a ɫ n i
мненията	m n e n i j a t ɐ
посоката	p o s o k a t ɐ
съставлява	s ə s t a v l a v ɐ
нула	n u ɫ ɐ
попадне	p o p a d n e
генералска	ɡ e n e r a ɫ s k ɐ
основани	o s n o v a n i
идеологически	i d e o ɫ o ɡ i t ʃ e s k i
профилът	p r o f i ɫ ə t
честита	t ʃ e s t i t ɐ
провиква	p r o v i k v ɐ
Чуканов	t ʃ u k a n o f
парламентарист	p ɐ r ɫ ɐ m e n t a r i s t
навръх	n a v r ə x
представителство	p r e t s t ɐ v i t e ɫ s t v o
Симов	s i m o f
приблизително	p r i b l i z i t e ɫ n o
съоръженията	s ə o r ə ʒ e n i j a t ɐ
експлоатация	e k s p ɫ o a t a t s i ɐ
поскъпването	p o s k ə p v a n e t o
имотите	i m o t i t e
печелим	p e t ʃ e l i m
кривото	k r i v o t o
огледало	o ɡ l e d a ɫ o
обещавания	o b e ʃ t ɐ v a n i j ɐ
останало	o s t a n a ɫ o
отражение	o t r a ʒ e n i e
действителността	d e j s t v i t e ɫ n o s t̪ ɐ
минали	m i n a l i
диапазонът	d i ɐ p a z o n ə t
спедитора	s p e d i t o r ɐ
разшириха	r ɐ s ʃ i r i x ɐ
усъвършенстваха	u s ə v ə r ʃ e n s t v a x ɐ
увеличените	u v e l i t ʃ e n i t e
повишат	p o v i ʃ ɐ t
проникнати	p r o n i k n a t i
ясното	j a s n o t o
съзнание	s ə z n a n i e
нейни	n e j n i
влияят	v l i j a j ɐ t
свободи	s v o b o d i
начинът	n a t ʃ i n ə t
болници	b o ɫ n i t s i
морги	m o r ɡ i
наляха	n a l a x ɐ
вдигната	v d i ɡ n a t ɐ
предложена	p r e d ɫ o ʒ e n ɐ
вносителки	v n o s i t e ɫ k i
изброените	i z b r o e n i t e
туризмът	t u r i z m ə t
незаменими	n e z ɐ m e n i m i
термина	t e r m i n ɐ
боравеха	b o r a v e x ɐ
карат	k a r a t
по-организирани	p o o r ɡ ɐ n i z i r a n i
точни	t o t ʃ n i
представянето	p r e t s t ɐ vʲ a n e t o
градските	ɡ r a t s k i t e
маршрути	m a r ʃ r u t i
уебстраница	u e p s t r a n i t s ɐ
брошури	b r o ʃ u r i
пътеводител	p ə t e v o d i t e l
значим	z n a t ʃ i m
ярко	j a r k o
изразена	i z r a z e n ɐ
учредители	u t ʃ r e d i t e l i
Боду	b o d u
СОД	s o t
Трио	t r i o
старс	s t a r s
кажем	k a ʒ e m
ТРИСОТ	t r i s o t
лицензирано	l i t s e n z i r a n o
обещанието	o b e ʃ t ɐ n i e t o
училищата	u t ʃ i l i ʃ t a t ɐ
долюбват	d o l u b v ɐ t
насилва	n a s i ɫ v ɐ
авторитетната	ɐ f t o r i t e t n a t ɐ
потръгнаха	p o t r ə ɡ n a x ɐ
бавни	b a v n i
темпове	t e m p o v e
реакции	r e a k t s i i
сработва	s r a b o t v ɐ
пазарлъци	p ɐ z a r ɫ ə t s i
неизбежни	n e i z b e ʒ n i
компромиси	k o m p r o m i s i
логистиците	ɫ o ɡ i s t i t s i t e
непреодолими	n e p r e o d o l i m i
навременна	n ɐ v r e m e n n ɐ
кръстена	k r ə s t e n ɐ
Денят	d e ɲ ɐ t
Апокалипсис	ɐ p o k a l i p s i s
трудностите	t r u d n o s t i t e
по-илюзорни	p o i l u z o r n i
скорошно	s k o r o ʃ n o
поред	p o r e t
преместване	p r e m e s t v a n e
границите	ɡ r ɐ n i t s i t e
единния	e d i n n i j ɐ
Западните	z ɐ p a d n i t e
Балкани	b a ɫ k a n i
толерантно	t o l e r a n t n o
подчертавало	p o t t ʃ e r t a v a ɫ o
месопроизводителите	m e s o p r o i z v o d i t e l i t e
произведено	p r o i z v e d e n o
търгува	t ə r ɡ u v ɐ
данъчни	d a n ə t ʃ n i
фалшифициране	f ɐ ɫ ʃ i f i t s i r a n e
подписано	p o t p i s a n o
предвиждаше	p r e d v i ʒ d a ʃ e
платежния	p ɫ ɐ t e ʒ n i j ɐ
развалила	r ɐ z v a l i ɫ ɐ
подменена	p o d m e n e n ɐ
люксембургския	l u k s e m b u r k s k i j ɐ
формалното	f o r m a ɫ n o t o
петото	p e t o t o
полето	p o l e t o
говорим	ɡ o v o r i m
потенциали	p o t e n t s i a l i
дипломантите	d i p ɫ o m a n t i t e
продали	p r o d a l i
успешни	u s p e ʃ n i
изпълнима	i s p ə ɫ n i m ɐ
строителен	s t r o i t e l e n
смолянската	s m o l a n s k a t ɐ
червена	t ʃ e r v e n ɐ
Устабашиев	u s t ɐ b a ʃ i e f
победените	p o b e d e n i t e
стоящите	s t o j a ʃ t i t e
схемата	s x e m a t ɐ
германското	ɡ e r m a n s k o t o
по-сериозен	p o s e r i o z e n
настоящето	n ɐ s t o j a ʃ t e t o
иранските	i r a n s k i t e
застане	z a s t a n e
неотменно	n e o t m e n n o
оглавяваше	o ɡ ɫ ɐ vʲ a v a ʃ e
Пиринско	p i r i n s k o
винения	v i n e n i j ɐ
запознават	z ɐ p o z n a v ɐ t
вкусовите	f k u s o v i t e
телефонни	t e l e f o n n i
авторът	a f t o r ə t
разяснява	r ɐ ʒ a s ɲ a v ɐ
носят	n o ʃ ɐ t
мартеница	m ɐ r t e n i t s ɐ
укрепването	u k r e p v a n e t o
влиянието	v l i j ɐ n i e t o
Галъп	ɡ a ɫ ə p
Барометър	b ɐ r o m e t ə r
печатни	p e t ʃ a t n i
опростен	o p r o s t e n
натрупаният	n ɐ t r u p a n i j ɐ t
Югославия	j u ɡ o s ɫ a v i j ɐ
бюджетните	bʲ u d ʒ e t n i t e
Спортен	s p o r t e n
Чепинец-Беев	t ʃ e p i n e d̪z̪ b e e f
кабелна	k a b e ɫ n ɐ
горива	ɡ o r i v ɐ
руди	r u d i
метали	m e t a l i
химични	ʃ i m i t ʃ n i
нуждите	n u ʒ d i t e
радиоканал	r ɐ d i o k a n ɐ ɫ
обхват	o p x v a t
Сините	s i n i t e
сриват	s r i v ɐ t
продължила	p r o d ə ɫ ʒ i ɫ ɐ
наркотици	n ɐ r k o t i t s i
номинал	n o m i n ɐ ɫ
обращение	o b r a ʃ t e n i e
намалени	n ɐ m a l e n i
лихвени	l i x v e n i
плащания	p ɫ ɐ ʃ t a n i j ɐ
прецакал	p r e t s a k ɐ ɫ
прецака	p r e t s a k ɐ
фризьорски	f r i ʒ o r s k i
козметични	k o z m e t i t ʃ n i
посочено	p o s o t ʃ e n o
чия	t ʃ i j ɐ
контролът	k o n t r o ɫ ə t
проработи	p r o r a b o t i
откъде	o t k ə d e
претегли	p r e t e ɡ l i
противоречивите	p r o t i v o r e t ʃ i v i t e
показания	p o k ɐ z a n i j ɐ
умисъл	u m i s ə ɫ
разиграва	r ɐ z i ɡ r a v ɐ
подозират	p o d o z i r ɐ t
водила	v o d i ɫ ɐ
практическата	p r ɐ k t i t ʃ e s k a t ɐ
живописните	ʒ i v o p i s n i t e
околности	o k o ɫ n o s t i
прибавете	p r i b a v e t e
престижния	p r e s t i ʒ n i j ɐ
Гармиш-Партенкирхен	ɡ a r m i ʃ p ɐ r t e n k i r x e n
анализът	ɐ n a l i z ə t
влизане	v l i z a n e
журналистическия	ʒ u r n ɐ l i s t i t ʃ e s k i j ɐ
членството	t ʃ l e n s t v o t o
най-важно	n a j v a ʒ n o
утвърдените	u t v ə r d e n i t e
мачото	m a t ʃ o t o
обръсне	o b r ə s n e
рисковата	r i s k o v a t ɐ
наказани	n ɐ k a z a n i
по-логично	p o ɫ o ɡ i t ʃ n o
изразяват	i z r a ʒ a v ɐ t
писмено	p i s m e n o
несъгласието	n e s ə ɡ ɫ ɐ s i e t o
писменото	p i s m e n o t o
натрупано	n ɐ t r u p a n o
занимаващите	z ɐ n i m ɐ v a ʃ t i t e
охранителен	o x r a n i t e l e n
таксите	t a k s i t e
Министерския	m i n i s t e r s k i j ɐ
пишещите	p i ʃ e ʃ t i t e
журналистиката	ʒ u r n ɐ l i s t i k a t ɐ
нарежда	n a r e ʒ d ɐ
поетесата	p o e t e s a t ɐ
Захариева	z ɐ x ɐ r i e v ɐ
вдовица	v d o v i t s ɐ
Дамян	d a mʲ ɐ n
Дамянов	d a mʲ a n o f
каца	k a t s ɐ
транспортирани	t r ɐ n s p o r t i r a n i
тленните	t l e n n i t e
останки	o s t a n k i
еднакво	e d n a k v o
специфичните	s p e t s i f i t ʃ n i t e
огнестрелно	o ɡ n e s t r e ɫ n o
треньори	t r e ɲ o r i
гаранциите	ɡ ɐ r ɐ n t s i i t e
най-желани	n a j ʒ e ɫ a n i
студената	s t u d e n a t ɐ
съкратят	s ə k r a tʲ ɐ t
бойни	b o j n i
предложени	p r e d ɫ o ʒ e n i
прозрачността	p r o z r a t ʃ n o s t̪ ɐ
плюсовете	p l u s o v e t e
забелязан	z ɐ b e l a z ɐ n
талантът	t a ɫ a n t ə t
надарените	n ɐ d ɐ r e n i t e
особени	o s o b e n i
способности	s p o s o b n o s t i
курсисти	k u r s i s t i
черноморското	t ʃ e r n o m o r s k o t o
зестра	z e s t r ɐ
похвална	p o x v a ɫ n ɐ
нашествието	n ɐ ʃ e s t v i e t o
съкрушителна	s ə k r u ʃ i t e ɫ n ɐ
участничките	u t ʃ ɐ s t n i t ʃ k i t e
копия	k o p i j ɐ
заявления	z ɐ j ɐ v l e n i j ɐ
парада	p a r a d ɐ
ветерани	v e t e r a n i
подбрани	p o d b r a n i
здравословното	z d r ɐ v o s ɫ o v n o t o
крупни	k r u p n i
прозират	p r o z i r ɐ t
козметичните	k o z m e t i t ʃ n i t e
цялостни	tsʲ a ɫ o s t n i
насочени	n ɐ s o t ʃ e n i
акупунктура	ɐ k u p u n k t u r ɐ
диетологични	d i e t o ɫ o ɡ i t ʃ n i
сроковете	s r o k o v e t e
обемите	o b e m i t e
електроенергия	e l e k t r o e n e r ɡ i j ɐ
струваща	s t r u v a ʃ t ɐ
прецизна	p r e t s i z n ɐ
способна	s p o s o b n ɐ
минимално	m i n i m a ɫ n o
променения	p r o m e n e n i j ɐ
организъм	o r ɡ a n i z ə m
усърдно	u s ə r d n o
неидентифицирани	n e i d e n t i f i t s i r a n i
субекти	s u b e k t i
третите	t r e t i t e
неслучайни	n e s ɫ u t ʃ a j n i
ирландският	i r ɫ a n t s k i j ɐ t
рок	r o k
музикант	m u z i k a n t
Гелдоф	ɡ e ɫ d o f
организатори	o r ɡ ɐ n i z a t o r i
състоялите	s ə s t o j a l i t e
мегаконцерти	m e ɡ ɐ k o n t s e r t i
гладуващите	ɡ ɫ ɐ d u v a ʃ t i t e
Африка	a f r i k ɐ
фаворита	f ɐ v o r i t ɐ
актьор	a k tʲ o r
дърпа	d ə r p ɐ
конците	k o n t s i t e
брутално	b r u t a ɫ n o
погазени	p o ɡ a z e n i
улеснение	u l e s n e n i e
сведение	s v e d e n i e
написани	n ɐ p i s a n i
натискът	n a t i s k ə t
засилил	z a s i l i ɫ
извършат	i z v ə r ʃ ɐ t
Велик	v e l i k
наясно	n a j a s n o
готви	ɡ o t v i
погълне	p o ɡ ə ɫ n e
далечната	d ɐ l e t ʃ n a t ɐ
регламентира	r e ɡ ɫ ɐ m e n t i r ɐ
колегата	k o l e ɡ a t ɐ
Коста	k o s t ɐ
сливналии	s l i v n a l i i
простили	p r o s t i l i
шумното	ʃ u m n o t o
оттегляне	o t̪ e ɡ l a n e
звезда	z v e z d ɐ
игралия	i ɡ r a l i j ɐ
царе	t s a r e
антицарски	ɐ n t i t s a r s k i
приемем	p r i e m e m
безумие	b e z u m i e
вложените	v ɫ o ʒ e n i t e
признавам	p r i z n a v ɐ m
по-гореща	p o ɡ o r e ʃ t ɐ
увеличаването	u v e l i t ʃ ɐ v a n e t o
емисиите	e m i s i i t e
парникови	p ɐ r n i k o v i
газове	ɡ a z o v e
предизвикано	p r e d i z v i k a n o
човешката	t ʃ o v e ʃ k a t ɐ
допринася	d o p r i n a ʃ ɐ
недоволните	n e d o v o ɫ n i t e
правило	p r a v i ɫ o
обвиняват	o b v i ɲ a v ɐ t
авторитарност	ɐ f t o r i t a r n o s t
недемократичност	n e d e m o k r a t i t ʃ n o s t
реденето	r e d e n e t o
забравили	z ɐ b r a v i l i
несигурното	n e s i ɡ u r n o t o
всекидневието	f s e k i d n e v i e t o
проследимостта	p r o s l e d i m o s t̪ ɐ
доказването	d o k ɐ z v a n e t o
произхода	p r o i s x o d ɐ
храните	x r a n i t e
фуражите	f u r a ʒ i t e
отдава	o d d a v ɐ
соцлидера	s o t s l i d e r ɐ
съгледал	s ə ɡ l e d ɐ ɫ
подпомага	p o t p o m a ɡ ɐ
Славка	s ɫ a f k ɐ
Данчева	d a n t ʃ e v ɐ
Вътрешна	v ə t r e ʃ n ɐ
Сортови	s o r t o v i
летен	l e t e n
поръчката	p o r ə t ʃ k a t ɐ
борят	b o rʲ ɐ t
придирчиви	p r i d i r t ʃ i v i
потвърдено	p o t v ə r d e n o
туристическите	t u r i s t i t ʃ e s k i t e
лодката	ɫ o t k a t ɐ
Капитаните	k ɐ p i t a n i t e
милиционери	m i l i t s i o n e r i
курсанти	k u r s a n t i
най-малкият	n a j m a ɫ k i j ɐ t
автокефалната	ɐ f t o k e f a ɫ n a t ɐ
йерусалимска	j e r u s a l i m s k ɐ
Джерусалем	d ʒ e r u s a l e m
поуст	p o u s t
актуален	ɐ k t u a l e n
предположение	p r e t p o ɫ o ʒ e n i e
разсъждава	r ɐ s s ə ʒ d a v ɐ
действителност	d e j s t v i t e ɫ n o s t
тонове	t o n o v e
специалните	s p e t s i a ɫ n i t e
Осама	o s a m ɐ
Бин	b i n
Ладен	ɫ a d e n
заловен	z a ɫ o v e n
атентати	ɐ t e n t a t i
брутални	b r u t a ɫ n i
секва	s e k v ɐ
изход	i s x o t
сдържаност	z d ə r ʒ a n o s t
Украинският	u k r ɐ i n s k i j ɐ t
Ющенко	j u ʃ t e n k o
девети	d e v e t i
украинските	u k r a i n s k i t e
отминаването	o t m i n ɐ v a n e t o
времената	v r e m e n a t ɐ
стихийна	s t i ʃ i j n ɐ
нерегламентирана	n e r e ɡ ɫ ɐ m e n t i r a n ɐ
случайните	s ɫ u t ʃ a j n i t e
напускат	n a p u s k ɐ t
изхвърлени	i s x v ə r l e n i
преден	p r e d e n
училището	u t ʃ i l i ʃ t e t o
стилист	s t i l i s t
Капанов	k a p a n o f
открита	o t k r i t ɐ
телефонна	t e l e f o n n ɐ
възлагане	v ə z ɫ a ɡ a n e
вкарва	f k a r v ɐ
авторитетът	ɐ f t o r i t e t ə t
сгромоляса	z ɡ r o m o l a s ɐ
искали	i s k a l i
трошат	t r o ʃ ɐ t
хатъра	x a t ə r ɐ
смесените	s m e s e n i t e
кратки	k r a t k i
Божидар	b o ʒ i d a r
данев	d a n e f
камарата	k ɐ m a r a t ɐ
обсъждания	o p s ə ʒ d a n i j ɐ
предвидените	p r e d v i d e n i t e
дивят	d i vʲ ɐ t
свързва	s v ə r z v ɐ
писателя	p i s a t e l ɐ
прашасалите	p r ɐ ʃ ɐ s a l i t e
мълчат	m ə ɫ t ʃ ɐ t
невъзможна	n e v ə z m o ʒ n ɐ
разположили	r ɐ s p o ɫ o ʒ i l i
разнообразни	r ɐ z n o o b r a z n i
цвят	t s vʲ a t
ориентация	o r i e n t a t s i ɐ
секцията	s e k t s i j a t ɐ
книжка	k n i ʃ k ɐ
лисицата	l i s i t s a t ɐ
светкавично	s v e t k a v i t ʃ n o
контраатакува	k o n t r ɐ ɐ t a k u v ɐ
листчета	l i s t t ʃ e t ɐ
социалистическа	s o t s i ɐ l i s t i t ʃ e s k ɐ
архивите	ɐ r ʃ i v i t e
разсекретени	r ɐ s s e k r e t e n i
законно	z a k o n n o
унищожавани	u n i ʃ t o ʒ a v a n i
най-масирано	n a j m ɐ s i r a n o
певците	p e f t s i t e
фолкзвездите	f o ɫ ɡ z v e z d i t e
неписаните	n e p i s a n i t e
акцента	a k t s e n t ɐ
формулира	f o r m u l i r ɐ
единствените	e d i n s t v e n i t e
фаворитите	f ɐ v o r i t i t e
официалните	o f i t s i a ɫ n i t e
церемонията	t s e r e m o n i j a t ɐ
пускане	p u s k a n e
Валентинова	v ɐ l e n t i n o v ɐ
Томова	t o m o v ɐ
отглеждане	o d ɡ l e ʒ d a n e
възпитание	v ə s p i t a n i e
родителска	r o d i t e ɫ s k ɐ
грижа	ɡ r i ʒ ɐ
Провадия	p r o v a d i j ɐ
подскочи	p o t s k o t ʃ i
небето	n e b e t o
приети	p r i e t i
транзакция	t r ɐ n z a k t s i j ɐ
физическо	f i z i t ʃ e s k o
познати	p o z n a t i
царевичните	t s ɐ r e v i t ʃ n i t e
пръчици	p r ə t ʃ i t s i
соевото	s o e v o t o
сирене	s i r e n e
комисии	k o m i s i i
липсите	l i p s i t e
по-състоятелни	p o s ə s t o j a t e ɫ n i
биометрични	b i o m e t r i t ʃ n i
секретните	s e k r e t n i t e
регистратури	r e ɡ i s t r a t u r i
ирисова	i r i s o v ɐ
пръстова	p r ə s t o v ɐ
идентификация	i d e n t i f i k a t s i ɐ
разказват	r a s k a z v ɐ t
показни	p o k a z n i
извършеното	i z v ə r ʃ e n o t o
преоблечени	p r e o b l e t ʃ e n i
свещеници	s v e ʃ t e n i t s i
застреляха	z ɐ s t r e l a x ɐ
съперници	s ə p e r n i t s i
стигаме	s t i ɡ a m e
най-коментирания	n a j k o m e n t i r a n i j ɐ
играта	i ɡ r a t ɐ
доближава	d o b l i ʒ a v ɐ
летене	l e t e n e
метеорологични	m e t e o r o ɫ o ɡ i t ʃ n i
настроени	n ɐ s t r o e n i
позитивно	p o z i t i v n o
условие	u s ɫ o v i e
влизайки	v l i z a j k i
офицерският	o f i t s e r s k i j ɐ t
хипотеза	ʃ i p o t e z ɐ
знаел	z n a e ɫ
пропускателен	p r o p u s k a t e l e n
обстрелвана	o p s t r e ɫ v a n ɐ
караул	k ɐ r a u ɫ
нерядко	n e rʲ a t k o
отвъд	o t v ə t
океана	o k e a n ɐ
концентрират	k o n t s e n t r i r ɐ t
по-различни	p o r a z l i t ʃ n i
аспекти	a s p e k t i
смес	s m e s
забавление	z ɐ b a v l e n i e
публичният	p u b l i t ʃ n i j ɐ t
донорските	d o n o r s k i t e
тъканните	t ə k a n n i t e
кожата	k o ʒ a t ɐ
косата	k o s a t ɐ
аспекта	a s p e k t ɐ
полагат	p o ɫ a ɡ ɐ t
изпити	i s p i t i
разпоредби	r ɐ s p o r e d b i
последващо	p o s l e d v a ʃ t o
учебните	u t ʃ e b n i t e
преподавателите	p r e p o d ɐ v ɐ t e l i t e
излъчвано	i z ɫ ə t ʃ v a n o
скандалното	s k ɐ n d a ɫ n o t o
залага	z a ɫ a ɡ ɐ
антиромски	ɐ n t i r o m s k i
национализъм	n ɐ t s i o n a l i z ə m
ИПИ	i p i
оценили	o t s e n i l i
ефекти	e f e k t i
законопроектите	z ɐ k o n o p r o e k t i t e
спортът	s p o r t ə t
застъпен	z a s t ə p e n
най-здраво	n a j z d r a v o
олимпийската	o l i m p i j s k a t ɐ
шампионка	ʃ ɐ m p i o n k ɐ
Лечева	l e t ʃ e v ɐ
попадение	p o p a d e n i e
десетката	d e s e t k a t ɐ
съвместимост	s ə v m e s t i m o s t
хамърите	x ɐ m ə r i t e
задава	z a d a v ɐ
кола	k o ɫ ɐ
светлинни	s v e t l i n n i
Казусът	k a z u s ə t
информираното	i n f o r m i r a n o t o
пишеше	p i ʃ e ʃ e
поп	p o p
попфолк	p o p f o ɫ k
никому	n i k o m u
неизвестни	n e i z v e s t n i
марионетки	m ɐ r i o n e t k i
ратификационна	r ɐ t i f i k ɐ t s i o n n ɐ
покажем	p o k a ʒ e m
казали	k a z a l i
конкретният	k o n k r e t n i j ɐ t
подозрение	p o d o z r e n i e
преобладаващата	p r e o b ɫ ɐ d ɐ v a ʃ t a t ɐ
католическата	k ɐ t o l i t ʃ e s k a t ɐ
мюсюлмански	mʲ u ʃ u ɫ m a n s k i
кредитирали	k r e d i t i r a l i
хотелиерите	x o t e l i e r i t e
съществуваща	s ə ʃ t e s t v u v a ʃ t ɐ
горната	ɡ o r n a t ɐ
нарастването	n ɐ r ɐ s t v a n e t o
харченето	x ɐ r t ʃ e n e t o
нулев	n u l e f
фалшификатори	f ɐ ɫ ʃ i f i k a t o r i
гид	ɡ i t
манастира	m ɐ n a s t i r ɐ
заинтересован	z ɐ i n t e r e s o v ɐ n
антиамерикански	ɐ n t i ɐ m e r i k a n s k i
елементи	e l e m e n t i
утежнява	u t e ʒ ɲ a v ɐ
съгражданите	s ə ɡ r ɐ ʒ d a n i t e
отхвърлили	o t x v ə r l i l i
техен	t e x e n
по-задни	p o z a d n i
издател	i z d a t e ɫ
благовидно	b ɫ ɐ ɡ o v i d n o
най-безкористно	n a j b e s k o r i s t n o
читателю	t ʃ i t a t e l u
филиали	f i l i a l i
изгражда	i z ɡ r a ʒ d ɐ
ставаше	s t a v a ʃ e
тогавашната	t o ɡ ɐ v a ʃ n a t ɐ
зора	z o r ɐ
отидат	o t i d ɐ t
Сибир	s i b i r
СОТ	s o t
сигналноохранителна	s i ɡ n ɐ ɫ n o o x r ɐ n i t e ɫ n ɐ
модерната	m o d e r n a t ɐ
доставена	d o s t a v e n ɐ
настъпването	n ɐ s t ə p v a n e t o
дотогава	d o t o ɡ a v ɐ
обрати	o b r a t i
очаквани	o t ʃ a k v a n i
изявен	i ʒ a v e n
функционер	f u n k t s i o n e r
парашутното	p ɐ r ɐ ʃ u t n o t o
спускане	s p u s k a n e
косите	k o s i t e
чу	t ʃ u
изхарчи	i s x a r t ʃ i
автомобилни	ɐ f t o m o b i ɫ n i
железопътни	ʒ e l e z o p ə t n i
яд	j a t
математическата	m ɐ t e m ɐ t i t ʃ e s k a t ɐ
врътка	v r ə t k ɐ
отряза	o t rʲ a z ɐ
знаменити	z n ɐ m e n i t i
червени	t ʃ e r v e n i
ами	a m i
преписката	p r e p i s k a t ɐ
хлебопроизводителите	x l e b o p r o i z v o d i t e l i t e
сладкарите	s ɫ ɐ t k a r i t e
Хляб	x l a p
Нилана	n i ɫ a n ɐ
испанска	i s p a n s k ɐ
възприеме	v ə s p r i e m e
елементарната	e l e m e n t a r n a t ɐ
внесли	v n e s l i
камиона	k ɐ m i o n ɐ
пътник	p ə t n i k
навехнал	n a v e x n ɐ ɫ
извършването	i z v ə r ʃ v a n e t o
паралелно	p ɐ r a l e ɫ n o
вървяха	v ə r vʲ a x ɐ
тригодишните	t r i ɡ o d i ʃ n i t e
фирмения	f i r m e n i j ɐ
реалното	r e a ɫ n o t o
преориентиране	p r e o r i e n t i r a n e
Байданов	b a j d a n o f
месни	m e s n i
бордовете	b o r d o v e t e
питейни	p i t e j n i
дълга	d ə ɫ ɡ ɐ
